Name,Positive,Negative,Total,Price
Path of Exile 2,118511,50510,169021,2999
VRChat,181623,58732,240355,0
Phasmophobia,736611,32168,768779,1399
Project Zomboid,355171,21892,377063,2499
Lethal Company,473422,13738,487160,999
Schedule I,200803,3238,204041,1999
R.E.P.O.,179154,6488,185642,649
BeamNG.drive,313873,8405,322278,2499
ULTRAKILL,165867,3884,169751,2999
KurtzPel,20936,13480,34416,0
BattleBit Remastered,120458,22666,143124,1499
Realm Royale,43223,13520,56743,0
Survarium,13832,11623,25455,0
Enshrouded,67486,10594,78080,3999
Mirror 2: Project X,28726,87986,116712,199
Dyson Sphere Program,83095,1993,85088,1999
Manor Lords,62224,9896,72120,3999
Gray Zone Warfare,40235,19083,59318,2799
Liar's Bar,44341,4209,48550,699
ARK: Survival Ascended,44880,31115,75995,4499
The Day Before,3686,19751,23437,0
BLOCKADE 3D,14974,10584,25558,0
Operation: Harsh Doorstop,14167,4253,18420,0
No Rest for the Wicked,39563,10970,50533,3999
TCG Card Shop Simulator,38392,1107,39499,1999
Legends of IdleOn - Idle MMO,17310,4406,21716,0
BIGFOOT,17125,3741,20866,1999
Ravenfield,71341,2264,73605,1799
POLYGON: Multiplayer Shooter,26313,8756,35069,0
Radical Heights,6072,3727,9799,0
ATLAS,20142,22392,42534,2999
Stormgate,3728,3755,7483,0
Inside the Backrooms,36836,8196,45032,699
Craftopia,15406,4977,20383,2499
The Long Drive,42761,4666,47427,1599
Prismata,970,217,1187,0
Stoneshard,22298,7764,30062,2499
High Octane Drift,3265,2684,5949,0
Universe Sandbox,26456,992,27448,2999
MX Bikes,26514,1602,28116,3499
inZOI,16548,4311,20859,3199
War Selection,18745,3109,21854,0
WorldBox - God Simulator,41874,2188,44062,1999
Last Oasis,14952,9133,24085,2999
Islands of Nyne: Battle Royale,3387,3302,6689,0
Nobody - The Turnaround,8509,5730,14239,0
Marauders,14768,5911,20679,2999
Will To Live Online,12263,5314,17577,0
Art of War: Red Tides,5458,1460,6918,0
Terra Incognita Chapter One: The Descendant,671,373,1044,199
Shadow Arena,3064,2420,5484,0
Vainglory,2734,1435,4169,0
The Isle,77185,17619,94804,1999
Backrooms: Escape Together,19915,2854,22769,999
Head Shot,968,852,1820,83
Dark and Light,6133,5557,11690,1799
Bodycam,25297,8507,33804,3332
ASKA,5660,1415,7075,1999
The SKIES - BETA,1655,2288,3943,0
AdVenture Communist,3017,1620,4637,0
Reign of Guilds,519,313,832,0
Amazing Frog?,10189,648,10837,1999
Travellers Rest,12297,1603,13900,1349
She Will Punish Them,11430,954,12384,1599
Anarchy Arcade,1510,698,2208,0
Notes of Soul,16065,4715,20780,2999
Day of Dragons,4827,2465,7292,1999
League of Maidens,3275,2742,6017,0
The Coffin of Andy and Leyley,29090,1067,30157,1199
War of Rights,11619,1526,13145,2999
Due Process,6713,1495,8208,999
Crab Champions,26307,553,26860,999
Elin,6163,412,6575,1999
Streamline,1426,582,2008,0
RPG MO,2289,613,2902,0
SMITE 2,8257,6096,14353,0
Feed and Grow: Fish,14733,4239,18972,1499
Death Trash,3291,242,3533,1999
Feed the Cups,3922,9286,13208,1599
Exanima,10132,2214,12346,1499
Eco,10744,2468,13212,2999
SYNTHETIK 2,1990,406,2396,1999
Of Guards And Thieves,3697,631,4328,0
Kerbal Space Program 2,8683,20701,29384,4999
New kind of adventure,632,881,1513,199
Stay Out,16994,8906,25900,0
WGT Golf,1820,1091,2911,0
Tiny Rogues,9445,310,9755,999
Death Must Die,18498,1829,20327,699
Home Sweet Home : Survive,4561,3669,8230,0
The Forever Winter,13766,5280,19046,2999
Drunken Wrestlers 2,15326,2256,17582,399
SurrounDead,7347,853,8200,1199
Derail Valley,7100,275,7375,3999
So Many Cubes,53,119,172,199
Escape Machines,280,402,682,199
RuneScape: Dragonwilds,15430,2970,18400,2999
SpaceEngine,12102,515,12617,2999
Zenith: Nexus,3031,1459,4490,0
Infection Free Zone,11530,3058,14588,1749
