nume,genuri,pret,recenzii
Phasmophobia,"['Action', 'Indie', 'Early Access']",19.99,683835
Dead by Daylight,['Action'],19.99,684964
Amnesia: The Dark Descent,"['Action', 'Adventure', 'Indie']",19.99,20407
Outlast,"['Action', 'Adventure', 'Indie']",14.99,104305
SOMA,"['Action', 'Adventure', 'Indie']",29.99,46722
Poppy Playtime,"['Action', 'Adventure', 'Indie']",0.0,38420
Layers of Fear (2016),"['Adventure', 'Indie']",19.99,13162
Alien: Isolation,['Action'],39.99,48577
Lethal Company,"['Action', 'Adventure', 'Indie', 'Early Access']",9.99,411501
R.E.P.O.,"['Action', 'Early Access']",6.49,340465
Resident Evil 2,['Action'],7.99,155795
Resident Evil Village,['Action'],9.99,106331
Resident Evil 7 Biohazard,"['Action', 'Adventure']",7.99,87643
Resident Evil 3,['Action'],7.99,89973
Resident Evil,"['Action', 'Adventure']",4.99,27356
Resident Evil 6,"['Action', 'Adventure']",4.99,51349
Resident Evil 5,"['Action', 'Adventure']",4.99,48427
Resident Evil 0,"['Action', 'Adventure']",4.99,14392
Resident Evil 4 (2005),"['Action', 'Adventure']",4.99,78442
Resident Evil Revelations 2,"['Action', 'Adventure']",4.99,25428
Scorn,"['Action', 'Adventure', 'Indie']",12.49,14529
Escape the Backrooms,"['Action', 'Indie']",7.99,137057
Inside the Backrooms,"['Adventure', 'Indie', 'Early Access']",6.99,38810
Demonologist,"['Action', 'Adventure', 'Indie']",19.99,18879
Pacify,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",4.99,32917
Five Nights at Freddy's,"['Indie', 'Simulation']",4.99,53604
Ultimate Custom Night,"['Action', 'Free To Play', 'Indie']",0.0,0
Five Nights at Freddy's: Security Breach,"['Action', 'Adventure', 'Indie']",39.99,65341
Freddy Fazbear's Pizzeria Simulator,"['Free To Play', 'Indie', 'Simulation']",0.0,0
Spooky's Jump Scare Mansion,"['Action', 'Adventure', 'Free To Play', 'Indie']",0.0,147
Buckshot Roulette,"['Action', 'Indie', 'Simulation']",2.99,109934
Kholat,"['Adventure', 'Indie']",4.59,2036
Cry of Fear,"['Action', 'Adventure', 'Indie']",0.0,296
Outlast 2,"['Action', 'Adventure', 'Indie']",19.99,54218
The Outlast Trials,"['Action', 'Adventure', 'Indie']",39.99,90892
Contagion,"['Action', 'Adventure', 'Indie']",9.99,10044
SCP: Secret Laboratory,"['Action', 'Casual', 'Indie', 'RPG', 'Free To Play']",0.0,0
GTFO,['Action'],11.19,46155
Darkest Dungeon®,"['Indie', 'RPG', 'Strategy']",24.99,140709
Darkwood,"['Action', 'Adventure', 'RPG', 'Strategy']",19.99,22222
Amnesia: A Machine for Pigs,"['Action', 'Adventure', 'Indie']",3.99,7225
The Evil Within 2,"['Action', 'Adventure']",39.99,19773
The Evil Within,['Action'],19.99,21470
Little Nightmares,['Adventure'],19.99,52186
Little Nightmares II,['Adventure'],9.89,50240
MiSide,"['Adventure', 'Indie', 'RPG', 'Simulation']",11.99,121904
NEEDY STREAMER OVERLOAD,"['Adventure', 'Indie']",5.43,53964
OMORI,"['Adventure', 'Indie', 'RPG']",19.99,79809
