nume,pret,positive,negative,total_reviews
Palworld,29.99,358266,22443,380709
New World: Aeternum,59.99,196798,90080,286878
Black Myth: Wukong,59.99,1111720,38378,1150098
Lost Ark,0.0,143481,58540,202021
Monster Hunter Wilds,29.99,127273,91142,218415
Warframe,0.0,545393,81110,626503
ELDEN RING,59.99,981540,75137,1056677
Terraria,9.99,1373979,35494,1409473
Path of Exile 2,29.99,118511,50510,169021
Baldur's Gate 3,44.99,736688,23974,760662
Rust,19.99,1071135,156649,1227784
ARK: Survival Evolved,14.99,612177,117993,730170
Stardew Valley,14.99,872384,13811,886195
Path of Exile,0.0,209822,25269,235091
PAYDAY 2,9.99,594327,68755,663082
Last Epoch,34.99,88027,22596,110623
Cyberpunk 2077,59.99,713071,131850,844921
Hogwarts Legacy,59.99,289966,31429,321395
The Witcher 3: Wild Hunt - Complete Edition,49.99,802993,32356,835349
Borderlands 2,4.99,272900,22318,295218
Valheim,29.99,471451,28377,499828
Project Zomboid,24.99,355171,21892,377063
SMITE,0.0,94368,25428,119796
Don't Starve Together,14.99,475393,23668,499061
Dying Light,24.99,435687,21945,457632
7 Days to Die,44.99,327889,42157,370046
CyberCorp,14.99,266,56,322
Grim Dawn,24.99,93489,6241,99730
Mount & Blade II: Bannerlord,49.99,232360,32031,264391
Trove,0.0,74103,18267,92370
Fallout 4,19.99,326054,66233,392287
"Warhammer 40,000: Rogue Trader",49.99,26360,4445,30805
Castle Crashers,1.49,120733,4865,125598
The Elder Scrolls V: Skyrim,19.99,300915,16364,317279
The Elder Scrolls V: Skyrim Special Edition,39.99,310162,26896,337058
Robocraft,0.0,86240,31815,118055
Fallout: New Vegas,9.99,218763,8937,227700
Black Desert,9.99,64416,22503,86919
"Warhammer 40,000: Space Marine 2",14.99,134739,27846,162585
The Elder Scrolls Online,19.99,125497,28616,154113
Vampire Survivors,4.99,246479,3855,250334
Clicker Heroes,0.0,54989,6315,61304
STAR WARS: The Old Republic,0.0,60864,7088,67952
Hades,24.99,274829,4912,279741
Undertale,2.49,264082,8850,272932
Neverwinter,0.0,29947,8638,38585
Divinity: Original Sin 2 - Definitive Edition,44.99,182166,7958,190124
Dying Light 2 Stay Human: Reloaded Edition,59.99,154122,40708,194830
Russian Fishing 4,0.0,39598,33887,73485
Infestation: The New Z,0.0,18200,15615,33815
Tom Clancy’s The Division,29.99,65652,27546,93198
Conan Exiles Enhanced,39.99,84575,22890,107465
DAVE THE DIVER,19.99,125422,3909,129331
Mount & Blade: Warband,19.99,162632,3773,166405
Braveland,9.99,2555,577,3132
God of War,49.99,151706,6311,158017
Assassin's Creed Odyssey,59.99,153091,19102,172193
Darkest Dungeon,24.99,137026,12430,149456
Albion Online,0.0,65583,17491,83074
Starbound,14.99,152150,12756,164906
Magicka,9.99,26997,4365,31362
FINAL FANTASY XIV Online,19.99,70254,9782,80036
The Elder Scrolls IV: Oblivion Remastered,49.99,42316,10242,52558
Starfield,49.99,93942,71585,165527
The Witcher 2: Assassins of Kings Enhanced Edition,19.99,77950,9114,87064
Tabletop Simulator,19.99,66735,3925,70660
Survarium,0.0,13832,11623,25455
Hades II,29.99,60844,3288,64132
The Lord of the Rings Online,0.0,17099,3896,20995
Middle-earth: Shadow of War,49.99,95053,12165,107218
EVE Online,0.0,26813,9575,36388
BioShock,19.99,29127,1804,30931
Enshrouded,39.99,67486,10594,78080
Borderlands 3,5.99,125248,23817,149065
Mirror 2: Project X,1.99,28726,87986,116712
Torchlight II,19.99,41131,3210,44341
Crusader Kings II,0.0,66359,7450,73809
Clair Obscur: Expedition 33,49.99,106216,4816,111032
Borderlands: The Pre-Sequel,39.99,33577,8802,42379
The Witcher: Enhanced Edition Director's Cut,9.99,73569,9135,82704
Warhammer: Vermintide 2,29.99,113489,20234,133723
Elite Dangerous,19.99,77388,22636,100024
Kingdom Come: Deliverance II,59.99,96279,6058,102337
Spiral Knights,0.0,19869,3789,23658
BioShock Remastered,19.99,47962,10301,58263
Kingdom Come: Deliverance,29.99,136446,25760,162206
Fallout 76,39.99,89334,33215,122549
South Park: The Stick of Truth,29.99,66636,1669,68305
