nume,genuri,pret,recenzii,Strategy,Simulation,Early Access,Action,Adventure,Free To Play,RPG,Casual,Indie
Phasmophobia,"['Action', 'Indie', 'Early Access']",19.99,683835,0,0,1,1,0,0,0,0,1
Dead by Daylight,['Action'],19.99,684964,0,0,0,1,0,0,0,0,0
Amnesia: The Dark Descent,"['Action', 'Adventure', 'Indie']",19.99,20407,0,0,0,1,1,0,0,0,1
Outlast,"['Action', 'Adventure', 'Indie']",14.99,104305,0,0,0,1,1,0,0,0,1
SOMA,"['Action', 'Adventure', 'Indie']",29.99,46722,0,0,0,1,1,0,0,0,1
Poppy Playtime,"['Action', 'Adventure', 'Indie']",0.0,38420,0,0,0,1,1,0,0,0,1
Layers of Fear (2016),"['Adventure', 'Indie']",19.99,13162,0,0,0,0,1,0,0,0,1
Alien: Isolation,['Action'],39.99,48577,0,0,0,1,0,0,0,0,0
Lethal Company,"['Action', 'Adventure', 'Indie', 'Early Access']",9.99,411501,0,0,1,1,1,0,0,0,1
R.E.P.O.,"['Action', 'Early Access']",6.49,340465,0,0,1,1,0,0,0,0,0
Resident Evil 2,['Action'],7.99,155795,0,0,0,1,0,0,0,0,0
Resident Evil Village,['Action'],9.99,106331,0,0,0,1,0,0,0,0,0
Resident Evil 7 Biohazard,"['Action', 'Adventure']",7.99,87643,0,0,0,1,1,0,0,0,0
Resident Evil 3,['Action'],7.99,89973,0,0,0,1,0,0,0,0,0
Resident Evil,"['Action', 'Adventure']",4.99,27356,0,0,0,1,1,0,0,0,0
Resident Evil 6,"['Action', 'Adventure']",4.99,51349,0,0,0,1,1,0,0,0,0
Resident Evil 5,"['Action', 'Adventure']",4.99,48427,0,0,0,1,1,0,0,0,0
Resident Evil 0,"['Action', 'Adventure']",4.99,14392,0,0,0,1,1,0,0,0,0
Resident Evil 4 (2005),"['Action', 'Adventure']",4.99,78442,0,0,0,1,1,0,0,0,0
Resident Evil Revelations 2,"['Action', 'Adventure']",4.99,25428,0,0,0,1,1,0,0,0,0
Scorn,"['Action', 'Adventure', 'Indie']",12.49,14529,0,0,0,1,1,0,0,0,1
Escape the Backrooms,"['Action', 'Indie']",7.99,137057,0,0,0,1,0,0,0,0,1
Inside the Backrooms,"['Adventure', 'Indie', 'Early Access']",6.99,38810,0,0,1,0,1,0,0,0,1
Demonologist,"['Action', 'Adventure', 'Indie']",19.99,18879,0,0,0,1,1,0,0,0,1
Pacify,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",4.99,32917,1,0,0,1,1,0,0,1,1
Five Nights at Freddy's,"['Indie', 'Simulation']",4.99,53604,0,1,0,0,0,0,0,0,1
Ultimate Custom Night,"['Action', 'Free To Play', 'Indie']",0.0,0,0,0,0,1,0,1,0,0,1
Five Nights at Freddy's: Security Breach,"['Action', 'Adventure', 'Indie']",39.99,65341,0,0,0,1,1,0,0,0,1
Freddy Fazbear's Pizzeria Simulator,"['Free To Play', 'Indie', 'Simulation']",0.0,0,0,1,0,0,0,1,0,0,1
Spooky's Jump Scare Mansion,"['Action', 'Adventure', 'Free To Play', 'Indie']",0.0,147,0,0,0,1,1,1,0,0,1
Buckshot Roulette,"['Action', 'Indie', 'Simulation']",2.99,109934,0,1,0,1,0,0,0,0,1
Kholat,"['Adventure', 'Indie']",4.59,2036,0,0,0,0,1,0,0,0,1
Cry of Fear,"['Action', 'Adventure', 'Indie']",0.0,296,0,0,0,1,1,0,0,0,1
Outlast 2,"['Action', 'Adventure', 'Indie']",19.99,54218,0,0,0,1,1,0,0,0,1
The Outlast Trials,"['Action', 'Adventure', 'Indie']",39.99,90892,0,0,0,1,1,0,0,0,1
Contagion,"['Action', 'Adventure', 'Indie']",9.99,10044,0,0,0,1,1,0,0,0,1
SCP: Secret Laboratory,"['Action', 'Casual', 'Indie', 'RPG', 'Free To Play']",0.0,0,0,0,0,1,0,1,1,1,1
GTFO,['Action'],11.19,46155,0,0,0,1,0,0,0,0,0
Darkest Dungeon®,"['Indie', 'RPG', 'Strategy']",24.99,140709,1,0,0,0,0,0,1,0,1
Darkwood,"['Action', 'Adventure', 'RPG', 'Strategy']",19.99,22222,1,0,0,1,1,0,1,0,0
Amnesia: A Machine for Pigs,"['Action', 'Adventure', 'Indie']",3.99,7225,0,0,0,1,1,0,0,0,1
The Evil Within 2,"['Action', 'Adventure']",39.99,19773,0,0,0,1,1,0,0,0,0
The Evil Within,['Action'],19.99,21470,0,0,0,1,0,0,0,0,0
Little Nightmares,['Adventure'],19.99,52186,0,0,0,0,1,0,0,0,0
Little Nightmares II,['Adventure'],9.89,50240,0,0,0,0,1,0,0,0,0
MiSide,"['Adventure', 'Indie', 'RPG', 'Simulation']",11.99,121904,0,1,0,0,1,0,1,0,1
NEEDY STREAMER OVERLOAD,"['Adventure', 'Indie']",5.43,53964,0,0,0,0,1,0,0,0,1
OMORI,"['Adventure', 'Indie', 'RPG']",19.99,79809,0,0,0,0,1,0,1,0,1
